,song_y,Similarity,song_x,artist_y,song_y_name,artist_id_y,artist_x,song_x_name,artist_id_x
30,10379,0.30635760865272765,10429,Foo Fighters,Hell,151,Foo Fighters,Milk,151
31,10416,0.2543930145086275,10429,Foo Fighters,Another Round,151,Foo Fighters,Milk,151
32,10433,0.2936824118269301,31612,Foo Fighters,Never Talking To You Again (Live),151,Snoop Dogg,California Roll,472
33,31589,0.12770612267287054,31612,Snoop Dogg,Fresh Pair Of Panties On,472,Snoop Dogg,California Roll,472
34,10396,0.0723807331765845,31612,Foo Fighters,Mountain Of You,151,Snoop Dogg,California Roll,472
35,31370,0.030713230257389097,31612,Selena Gomez,Like A Champion,467,Snoop Dogg,California Roll,472
36,31369,0.2913237809275585,31371,Selena Gomez,Forget Forever,467,Selena Gomez,Love Will Remember,467
37,10405,0.17707792355606083,31371,Foo Fighters,Stranger Things Have Happened,151,Selena Gomez,Love Will Remember,467
38,10422,0.155043327481719,31371,Foo Fighters,Dear Lover,151,Selena Gomez,Love Will Remember,467
39,31365,0.0537660907172881,31371,Selena Gomez,I Won't Apologize,467,Selena Gomez,Love Will Remember,467
40,31593,0.2853229764455683,31610,Snoop Dogg,Give It 2 'em Dogg,472,Snoop Dogg,Buck 'em,472
41,31603,0.2146542830443957,31610,Snoop Dogg,2001,472,Snoop Dogg,Buck 'em,472
42,31606,0.09767005533142906,31610,Snoop Dogg,Ain't Nut'in Personal,472,Snoop Dogg,Buck 'em,472
43,31604,0.28074779456866206,31628,Snoop Dogg,2 Of Amerikaz Most Wanted,472,Snoop Dogg,Gangsta Luv,472
44,31599,0.25786643461123304,31628,Snoop Dogg,In Love With A Thug,472,Snoop Dogg,Gangsta Luv,472
45,31627,0.17329717741992143,31628,Snoop Dogg,Gangsta Like Me,472,Snoop Dogg,Gangsta Luv,472
46,31600,0.25300849791172003,31620,Snoop Dogg,Issues,472,Snoop Dogg,Don't Be Foolish,472
47,31619,0.22384398159255794,31620,Snoop Dogg,Doin' Too Much,472,Snoop Dogg,Don't Be Foolish,472
48,31609,0.2529942502615251,31619,Snoop Dogg,Betta Days,472,Snoop Dogg,Doin' Too Much,472
49,31615,0.15186889395879768,31619,Snoop Dogg,Deep Cover,472,Snoop Dogg,Doin' Too Much,472
50,10454,0.09549607787661862,31619,Foo Fighters,Weenie Beenie,151,Snoop Dogg,Doin' Too Much,472
51,31605,0.07823277062166008,31619,Snoop Dogg,A Message 2 Fat Cuzz,472,Snoop Dogg,Doin' Too Much,472
